# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
3U	CKG	WUX		0	320
3U	CKG	XIY		0	320
3U	CKG	XNN		0	320
3U	CKG	YIH		0	320
3U	CSX	CKG		0	319
3U	CSX	CTU		0	319
3U	CSX	FOC		0	319
3U	CSX	XMN		0	319
3U	CTU	CAN		0	321 320 330
3U	CTU	CGO		0	319
3U	CTU	CSX		0	319
3U	CTU	DSN		0	320
3U	CTU	HAK		0	321 320
3U	CTU	HET		0	319
3U	CTU	HFE		0	321
3U	CTU	HGH		0	320
3U	CTU	HKG		0	321
3U	CTU	HKT		0	321
3U	CTU	ICN		0	321
3U	CTU	INC		0	320
3U	CTU	JDZ		0	319
3U	CTU	JHG		0	319
3U	CTU	JIU		0	319
3U	CTU	JZH		0	319
3U	CTU	KHN		0	321
3U	CTU	KMG		0	320
3U	CTU	KOW		0	320 319
3U	CTU	KWE		0	319
3U	CTU	KWL		0	320
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LUM		0	319
3U	CTU	LXA		0	319
3U	CTU	MLE		0	330
3U	CTU	NKG		0	320 321
3U	CTU	NNG		0	320 321
3U	CTU	PEK		0	330 320 319 321
3U	CTU	PVG		0	321 330
3U	CTU	RMQ		0	321
3U	CTU	SHE		0	330
3U	CTU	SJW		0	321
3U	CTU	SYX		0	320
3U	CTU	SZX		0	321 320
3U	CTU	TAO		0	321
3U	CTU	TNA		0	321
3U	CTU	TSA		0	321
3U	CTU	TSN		0	321
3U	CTU	TYN		0	320
3U	CTU	URC		0	319 320
3U	CTU	WNZ		0	321 319
3U	CTU	WUH		0	319
3U	CTU	WUX		0	320
3U	CTU	XIC		0	320
3U	CTU	XIY		0	320 319
3U	CTU	XMN		0	320
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	319
3U	CTU	YIH		0	320 319
3U	CZX	CKG		0	320
3U	CZX	HRB		0	319
3U	CZX	XMN		0	319
3U	CZX	ZUH		0	320
3U	DLC	CKG		0	320
3U	DLC	HGH		0	320
3U	DLC	HRB		0	320
3U	DLC	TNA		0	321
3U	DLC	XUZ		0	319
3U	DSN	CTU		0	320
3U	DSN	SHE		0	320
3U	DYG	NKG		0	319
3U	FOC	CSX		0	319
3U	FOC	KHN		0	319
3U	HAK	CTU		0	321 320
3U	HAK	NGB		0	321
3U	HET	CGO		0	320
3U	HET	CIF		0	319
3U	HET	CTU		0	319
3U	HFE	CTU		0	321
3U	HGH	CGO		0	320
3U	HGH	CKG		0	320
3U	HGH	CTU		0	320
3U	HGH	DLC		0	320
3U	HKG	CTU		0	321
3U	HKG	LJG		0	319
3U	HKG	YIH		0	320
3U	HKT	CKG		0	320
3U	HKT	CTU		0	321
3U	HLD	HRB		0	321
3U	HRB	CGO		0	320
3U	HRB	CZX		0	319
3U	HRB	DLC		0	320
3U	HRB	HLD		0	321
3U	HRB	NGB		0	321
3U	HRB	NKG		0	320 321
3U	HRB	SJW		0	319
3U	HRB	TNA		0	321
3U	HRB	TYN		0	321
3U	HRB	WNZ		0	320
3U	HRB	WUH		0	321
3U	HRB	XUZ		0	320 319
3U	ICN	CTU		0	321
3U	INC	CKG		0	321
3U	INC	CTU		0	320
3U	INC	KWL		0	320
3U	JDZ	CTU		0	319
3U	JDZ	XMN		0	319
3U	JGN	LHW		0	319
3U	JHG	CTU		0	319
3U	JIU	CTU		0	319
3U	JIU	PVG		0	319
3U	JJN	KWE		0	319
3U	JJN	WUH		0	320
3U	JZH	CKG		0	319
3U	JZH	CTU		0	319
3U	JZH	XIY		0	319
3U	KGT	CKG		0	319
3U	KHG	URC		0	319
3U	KHN	CKG		0	319
3U	KHN	CTU		0	321
3U	KHN	FOC		0	319
3U	KHN	NGB		0	321
3U	KMG	CGO		0	320
3U	KMG	CKG		0	320
3U	KMG	CTU		0	320
3U	KMG	KWE		0	320
3U	KMG	NGB		0	320
3U	KMG	TNA		0	320
3U	KMG	TPE		0	320
3U	KMG	WXN		0	320
3U	KMG	XMN		0	320
3U	KMG	XNN		0	320
3U	KMG	XUZ		0	320
3U	KOW	CTU		0	320 319
3U	KOW	XMN		0	320 319
3U	KWE	CTU		0	319
3U	KWE	JJN		0	319
3U	KWE	KMG		0	320
3U	KWE	LHW		0	319
3U	KWE	SYX		0	319
3U	KWE	WNZ		0	320
3U	KWE	XUZ		0	319
3U	KWL	CKG		0	321
3U	KWL	CTU		0	320
3U	KWL	INC		0	320
3U	KWL	SYX		0	320
3U	KWL	TYN		0	321
3U	LHW	CTU		0	319
3U	LHW	JGN		0	319
3U	LHW	KWE		0	319
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LJG	HKG		0	319
3U	LJG	MIG		0	319
3U	LUM	CTU		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	319
3U	LXA	XIY		0	319
3U	LXA	XNN		0	319
3U	LYI	XIY		0	320
3U	MIG	LJG		0	319
3U	MIG	NKG		0	319
3U	MIG	SYX		0	320
3U	MIG	XNN		0	320
3U	MLE	CTU		0	330
3U	NGB	CKG		0	320
3U	NGB	HAK		0	321
3U	NGB	HRB		0	321
3U	NGB	KHN		0	321
3U	NGB	KMG		0	320
3U	NKG	CKG		0	320 319 321
3U	NKG	CTU		0	320 321
3U	NKG	DYG		0	319
3U	NKG	HRB		0	320
3U	NKG	MIG		0	319
3U	NKG	XIY		0	319
